file,percent,borda_type,cloned_candidate,original_winner,new_winner,num_cands
Oakland_11082016_SchoolDirectorDistrict5.csv,0.4,om,HUBER TRENADO,ROSIE TORRES,HUBER TRENADO,5
Oakland_11082022_Schoolboarddistrict4.csv,0.4,om,NICK RESNICK,PECOLIA MANIGO,NICK RESNICK,4
PierceCounty_11042008_CountyAssessorTreasurer.csv,0.4,om,Terry Lee,Dale Washam,Terry Lee,7
PierceCounty_11042008_CountyAssessorTreasurer.csv,0.4,om,Barbara Gelman,Dale Washam,Barbara Gelman,7
PierceCounty_11042008_CountyAssessorTreasurer.csv,0.4,om,Jan Shabro,Dale Washam,Jan Shabro,7
PierceCounty_11042008_CountyExecutiveMember.csv,0.4,om,Shawn Bunney,Pat McCarthy,Shawn Bunney,5
SanFrancisco_06052018_Mayor.csv,0.4,om,MARK LENO,LONDON BREED,MARK LENO,10
SanFrancisco_11022010_BoardofSupervisorsDistrict2.csv,0.4,om,JANET REILLY,MARK FARRELL,JANET REILLY,7
SanFrancisco_11042008_BoardofSupervisorsDistrict1.csv,0.4,om,SUE LEE,ERIC MAR,SUE LEE,10
SanFrancisco_11042008_BoardofSupervisorsDistrict11.csv,0.4,om,AHSHA SAFAI,JOHN AVALOS,AHSHA SAFAI,10
SanFrancisco_11052004_BoardofSupervisorsDistrict1.csv,0.4,om,Lillian Sing,Jake McGoldrick,Lillian Sing,8
SanFrancisco_11052019_DistrictAttorney.csv,0.4,om,SUZY LOFTUS,CHESA BOUDIN,SUZY LOFTUS,5
SanFrancisco_11052024_BoS_D1.csv,0.4,om,MARJAN PHILHOUR,CONNIE CHAN,MARJAN PHILHOUR,6
SanFrancisco_11052024_BoS_D11.csv,0.4,om,MICHAEL LAI,CHYANNE CHEN,MICHAEL LAI,8
SanFrancisco_11052024_BoS_D5.csv,0.4,om,DEAN PRESTON,BILAL MAHMOOD,DEAN PRESTON,6
SanFrancisco_11052024_BoS_D7.csv,0.4,om,MATT BOSCHETTO,MYRNA MELGAR,MATT BOSCHETTO,5
SanFrancisco_11062012_BoardofSupervisorsDistrict7.csv,0.4,om,F. X. FRANCIS XAVIER CROWLEY,NORMAN YEE,F. X. FRANCIS XAVIER CROWLEY,10
SanFrancisco_11062018_BoardofSupervisorsDistrict2.csv,0.4,om,NICK JOSEFOWITZ,CATHERINE STEFANI,NICK JOSEFOWITZ,5
SanFrancisco_11072006_BoardofSupervisorsDistrict4.csv,0.4,om,Ron Dudum,Ed Jew,Ron Dudum,8
SanFrancisco_11072006_BoardofSupervisorsDistrict6.csv,0.4,om,Rob Black,Chris Daly,Rob Black,9
SanFrancisco_11082016_BoardofSupervisorsDistrict1.csv,0.4,om,MARJAN PHILHOUR,SANDRA LEE FEWER,MARJAN PHILHOUR,11
SanFrancisco_11082016_BoardofSupervisorsDistrict11.csv,0.4,om,KIM ALVARENGA,AHSHA SAFAI,KIM ALVARENGA,6
SanFrancisco_11082016_BoardofSupervisorsDistrict5.csv,0.4,om,DEAN PRESTON,LONDON BREED,DEAN PRESTON,3
SanFrancisco_11082022_BoardofSupervisorsD4.csv,0.4,om,GORDON MAR,JOEL ENGARDIO,GORDON MAR,3
SanLeandro_11022010_Mayor.csv,0.4,om,ANTHONY B. ''TONY'' SANTOS,STEPHEN H. CASSIDY,ANTHONY B. ''TONY'' SANTOS,7
