file,threshold,winner,rounds,plurality_match,IRV_match,top-two_match,borda-pm_match,borda-om_match,borda-avg_match,top-3-truncation_match,condorcet_match,minimax_match,smith_plurality_match,smith_irv_match,smith-minimax_match,ranked-pairs_match,bucklin_match,approval_match,smith_match,plurality_match,IRV_match,top-two_match,borda-pm_match,borda-om_match,borda-avg_match,top-3-truncation_match,condorcet_match,minimax_match,smith_plurality_match,smith_irv_match,smith-minimax_match,ranked-pairs_match,bucklin_match,approval_match,smith_match
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,PM,Iain MCMILLAN (Lab),,match,match,match,no_match,no_match,no_match,no_match,no_winner,no_match,match,match,no_match,no_match,no_match,no_match,match,match,match,match,no_match,no_match,no_match,no_match,no_winner,no_match,match,match,no_match,no_match,no_match,no_match,match
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,AVG,John CALDWELL (Lab),,no_match,no_match,no_match,match,match,match,match,no_winner,match,no_match,no_match,match,match,match,match,match,no_match,no_match,no_match,match,match,match,match,no_winner,match,no_match,no_match,match,match,match,match,match
Ward3-DeeandGlenkens_ward3.csv,OM,John DENERLEY (Con),,no_match,match,match,no_match,no_match,no_match,no_match,no_winner,no_match,no_match,no_match,no_match,no_match,no_match,no_match,match,no_match,match,match,no_match,no_match,no_match,no_match,no_winner,no_match,no_match,no_match,no_match,no_match,no_match,no_match,match
Ward3-DeeandGlenkens_ward3.csv,PM,Susan MURDOCH (Con),,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,match,no_match,no_match,match,match,no_match,no_match,match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,match,no_match,no_match,match,match,no_match,no_match,match
Ward3-DeeandGlenkens_ward3.csv,AVG,Susan MURDOCH (Con),,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,match,no_match,no_match,match,match,no_match,no_match,match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,match,no_match,no_match,match,match,no_match,no_match,match
Ward2-KintyreandtheIslands_ward2.csv,OM,Dougie MCFADZEAN (SNP),,match,no_match,no_match,no_match,no_match,no_match,match,no_winner,match,match,no_match,match,match,no_match,no_match,match,match,no_match,no_match,no_match,no_match,no_match,match,no_winner,match,match,no_match,match,match,no_match,no_match,match
Ward2-KintyreandtheIslands_ward2.csv,PM,Robin CURRIE (LD),,no_match,no_match,no_match,no_match,match,match,no_match,no_winner,no_match,no_match,no_match,no_match,no_match,match,match,match,no_match,no_match,no_match,no_match,match,match,no_match,no_winner,no_match,no_match,no_match,no_match,no_match,match,match,match
Ward2-KintyreandtheIslands_ward2.csv,AVG,Dougie MCFADZEAN (SNP),,match,no_match,no_match,no_match,no_match,no_match,match,no_winner,match,match,no_match,match,match,no_match,no_match,match,match,no_match,no_match,no_match,no_match,no_match,match,no_winner,match,match,no_match,match,match,no_match,no_match,match
Minneapolis_11022021_CityCouncilWard2.csv,OM,Cam Gordon,,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,no_match,no_match,no_match,no_match,no_match,no_match,no_match,match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,no_match,no_match,no_match,no_match,no_match,no_match,no_match,match
Minneapolis_11022021_CityCouncilWard2.csv,PM,Yusra Arab,,no_match,no_match,no_match,match,match,match,match,no_winner,match,match,no_match,match,match,match,match,match,no_match,no_match,no_match,match,match,match,match,no_winner,match,match,no_match,match,match,match,match,match
Minneapolis_11022021_CityCouncilWard2.csv,AVG,Robin Wonsley Worlobah,,match,match,match,no_match,no_match,no_match,no_match,no_winner,no_match,no_match,match,no_match,no_match,no_match,no_match,match,match,match,match,no_match,no_match,no_match,no_match,no_winner,no_match,no_match,match,no_match,no_match,no_match,no_match,match
Ward4-CumbernauldEast_n-lanarks17-004.csv,OM,Tom JOHNSTON (SNP),,match,match,match,no_match,no_match,no_match,no_match,no_winner,match,no_match,match,match,match,no_match,no_match,match,match,match,match,no_match,no_match,no_match,no_match,no_winner,match,no_match,match,match,match,no_match,no_match,match
Ward4-CumbernauldEast_n-lanarks17-004.csv,PM,Tom JOHNSTON (SNP),,match,match,match,no_match,no_match,no_match,no_match,no_winner,match,no_match,match,match,match,no_match,no_match,match,match,match,match,no_match,no_match,no_match,no_match,no_winner,match,no_match,match,match,match,no_match,no_match,match
Ward4-CumbernauldEast_n-lanarks17-004.csv,AVG,Tom JOHNSTON (SNP),,match,match,match,no_match,no_match,no_match,no_match,no_winner,match,no_match,match,match,match,no_match,no_match,match,match,match,match,no_match,no_match,no_match,no_match,no_winner,match,no_match,match,match,match,no_match,no_match,match
Ward21NorthEast_glasgow17-021.csv,OM,Ruairi KELLY (SNP),,no_match,no_match,no_match,no_match,match,no_match,no_match,no_winner,match,no_match,no_match,match,match,no_match,match,match,no_match,no_match,no_match,no_match,match,no_match,no_match,no_winner,match,no_match,no_match,match,match,no_match,match,match
Ward21NorthEast_glasgow17-021.csv,PM,TIED,,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match
Ward21NorthEast_glasgow17-021.csv,AVG,TIED,,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,OM,Hazel Linda SMITH (LD),,no_match,no_match,no_match,match,no_match,match,no_match,no_winner,no_match,no_match,no_match,no_match,no_match,match,match,match,no_match,no_match,no_match,match,no_match,match,no_match,no_winner,no_match,no_match,no_match,no_match,no_match,match,match,match
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,PM,Sam PAYNE (Con),,no_match,match,match,no_match,no_match,no_match,no_match,no_winner,no_match,no_match,match,no_match,no_match,no_match,no_match,match,no_match,match,match,no_match,no_match,no_match,no_match,no_winner,no_match,no_match,match,no_match,no_match,no_match,no_match,match
