file,threshold,winner,plurality_match,IRV_match,top-two_match,borda-pm_match,borda-om_match,borda-avg_match,top-3-truncation_match,condorcet_match,minimax_match,smith_plurality_match,smith_irv_match,smith-minimax_match,ranked-pairs_match,bucklin_match,approval_match,smith_match
Ward7-MayboleNorthCarrickandCoylton_s-ayrshire12-07.csv,AVG,Brian CONNOLLY (Ind),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Ward5-AyrWest_s-ayrshire12-05.csv,OM,Bill GRANT (Con),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Ward5-AyrWest_s-ayrshire12-05.csv,PM,Bill GRANT (Con),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Ward5-AyrWest_s-ayrshire12-05.csv,AVG,Bill GRANT (Con),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Ward8-GirvanandSouthCarrick_s-ayrshire12-08.csv,OM,Alec CLARK (Ind),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Ward8-GirvanandSouthCarrick_s-ayrshire12-08.csv,PM,Alec CLARK (Ind),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Ward8-GirvanandSouthCarrick_s-ayrshire12-08.csv,AVG,Alec CLARK (Ind),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,OM,John JAMIESON (SNP),match,match,match,match,match,match,match,match,match,match,match,match,match,no_match,no_match,match
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,PM,John JAMIESON (SNP),match,match,match,match,match,match,match,match,match,match,match,match,match,no_match,no_match,match
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,AVG,TIED,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match
Milngavie_e-duns17-01.csv,OM,Jim GOODALL (LD),no_match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Milngavie_e-duns17-01.csv,PM,Jim GOODALL (LD),no_match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Milngavie_e-duns17-01.csv,AVG,Jim GOODALL (LD),no_match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
LenzieandKirkintillochSouth_e-duns17-06.csv,OM,Rod ACKLAND (LD),no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,match,match,no_match
LenzieandKirkintillochSouth_e-duns17-06.csv,PM,Gillian RENWICK (SNP),no_match,match,match,match,match,match,match,match,match,match,match,match,match,no_match,no_match,match
LenzieandKirkintillochSouth_e-duns17-06.csv,AVG,Gillian RENWICK (SNP),no_match,match,match,match,match,match,match,match,match,match,match,match,match,no_match,no_match,match
BishopbriggsSouth_e-duns17-05.csv,OM,Alan MOIR (Lab),no_match,match,no_match,match,no_match,no_match,no_match,match,match,match,match,match,match,match,match,match
BishopbriggsSouth_e-duns17-05.csv,PM,Alan MOIR (Lab),no_match,match,no_match,match,no_match,no_match,no_match,match,match,match,match,match,match,match,match,match
BishopbriggsSouth_e-duns17-05.csv,AVG,Alan MOIR (Lab),no_match,match,no_match,match,no_match,no_match,no_match,match,match,match,match,match,match,match,match,match
BearsdenNorth_e-duns17-02.csv,OM,Duncan CUMMING (Ind),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
BearsdenNorth_e-duns17-02.csv,PM,Duncan CUMMING (Ind),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
BearsdenNorth_e-duns17-02.csv,AVG,Duncan CUMMING (Ind),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
BearsdenSouth_e-duns17-03.csv,OM,Vaughan MOODY (LD),no_match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
BearsdenSouth_e-duns17-03.csv,PM,Vaughan MOODY (LD),no_match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
BearsdenSouth_e-duns17-03.csv,AVG,Vaughan MOODY (LD),no_match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
BishopbriggsNorthandCampsie_e-duns17-04.csv,OM,Paul FERRETTI (SNP),no_match,match,match,no_match,match,match,no_match,match,match,match,match,match,match,no_match,no_match,match
BishopbriggsNorthandCampsie_e-duns17-04.csv,PM,Paul FERRETTI (SNP),no_match,match,match,no_match,match,match,no_match,match,match,match,match,match,match,no_match,no_match,match
BishopbriggsNorthandCampsie_e-duns17-04.csv,AVG,Paul FERRETTI (SNP),no_match,match,match,no_match,match,match,no_match,match,match,match,match,match,match,no_match,no_match,match
