file,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
CastleWard_stirling12-04.csv__hit34,John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit35,Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),Johanna BOYD (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab)
CastleWard_stirling12-04.csv__hit36,John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit37,Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit38,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit39,John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab)
CastleWard_stirling12-04.csv__hit40,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit41,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit42,John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab)
CastleWard_stirling12-04.csv__hit43,Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit44,John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit45,Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Johanna BOYD (Lab),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit46,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit47,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit48,John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab)
CastleWard_stirling12-04.csv__hit49,Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit50,John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit51,Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit52,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit53,John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab)
CastleWard_stirling12-04.csv__hit54,John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit55,John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit56,Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Johanna BOYD (Lab),John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit57,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Johanna BOYD (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit58,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit59,John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit60,Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit61,Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit62,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit63,Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit64,John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit65,Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
