file,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
Minneapolis_11022021_CityCouncilWard2.csv__hit33,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit34,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit35,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit36,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit37,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit38,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit39,Yusra Arab,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit40,Yusra Arab,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit41,Yusra Arab,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit42,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit43,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon
Minneapolis_11022021_CityCouncilWard2.csv__hit44,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit45,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit46,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit47,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit48,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit49,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah
