election_id,num_candidates,total_ballot_weight,expected_rows
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit110",5,1990.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit111",5,1999.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit112",5,1990.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit113",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit114",5,1992.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit115",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit116",5,1991.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit117",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit118",5,1992.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit119",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit120",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit121",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit122",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit123",5,1997.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit124",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit125",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit126",5,1990.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit127",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit128",5,1997.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit129",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit130",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit131",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit132",5,1992.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit133",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit134",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit135",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit136",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit137",5,1990.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit138",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit139",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit140",5,1991.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit141",5,1995.0,21
