election_id,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith-plurality,smith-irv,smith-minimax,ranked-pairs,bucklin,smith,tvr-om,tvr-avg,tvr-pm,diversity-0,diversity-1,diversity-2,diversity-3,diversity-4,diversity-5,diversity-6,diversity-7,diversity-8,diversity-9,diversity-10
Cambridge_11082005_CityCouncil.csv__hit18,"['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","[]","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Decker, Marjorie C.']","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Davis, Henrietta', 'Sullivan, Michael A.', 'Decker, Marjorie C.', 'Galluccio, Anthony D.']","Davis, Henrietta","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D."
Cambridge_11082005_CityCouncil.csv__hit19,"['Galluccio, Anthony D.']","['Galluccio, Anthony D.']",TIED,"['Decker, Marjorie C.']","['Decker, Marjorie C.']","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","[]","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Decker, Marjorie C.']","['Davis, Henrietta']","['Decker, Marjorie C.']","['Davis, Henrietta', 'Galluccio, Anthony D.', 'Sullivan, Michael A.', 'Simmons, Denise', 'Decker, Marjorie C.']","Davis, Henrietta","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Davis, Henrietta","Galluccio, Anthony D.","Decker, Marjorie C.","Galluccio, Anthony D.","Davis, Henrietta","Davis, Henrietta","Davis, Henrietta","Davis, Henrietta","Galluccio, Anthony D.","Galluccio, Anthony D."
Cambridge_11082005_CityCouncil.csv__hit20,"['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Davis, Henrietta']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","[]","['Davis, Henrietta']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Davis, Henrietta']","['Davis, Henrietta']","['Decker, Marjorie C.']","['Davis, Henrietta', 'Decker, Marjorie C.', 'Galluccio, Anthony D.']","Davis, Henrietta","Galluccio, Anthony D.","Galluccio, Anthony D.","Davis, Henrietta","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D."
Cambridge_11082005_CityCouncil.csv__hit21,"['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","[]","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Davis, Henrietta', 'Sullivan, Michael A.', 'Decker, Marjorie C.', 'Galluccio, Anthony D.']","Galluccio, Anthony D.","Decker, Marjorie C.","Decker, Marjorie C.","Decker, Marjorie C.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D."
Cambridge_11082005_CityCouncil.csv__hit22,"['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","[]","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Decker, Marjorie C.']","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Davis, Henrietta', 'Decker, Marjorie C.', 'Galluccio, Anthony D.']","Davis, Henrietta","Decker, Marjorie C.","Decker, Marjorie C.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D."
Cambridge_11082005_CityCouncil.csv__hit23,"['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","[]","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Davis, Henrietta', 'Galluccio, Anthony D.', 'Sullivan, Michael A.', 'Simmons, Denise', 'Decker, Marjorie C.']","Davis, Henrietta","Decker, Marjorie C.","Decker, Marjorie C.","Decker, Marjorie C.","Davis, Henrietta","Galluccio, Anthony D.","Decker, Marjorie C.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D."
Cambridge_11082005_CityCouncil.csv__hit24,"['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Davis, Henrietta']","['Davis, Henrietta']","['Galluccio, Anthony D.']","[]","['Davis, Henrietta']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Davis, Henrietta']","['Davis, Henrietta']","['Decker, Marjorie C.']","['Davis, Henrietta', 'Decker, Marjorie C.', 'Galluccio, Anthony D.']","Davis, Henrietta","Galluccio, Anthony D.","Galluccio, Anthony D.","Decker, Marjorie C.","Davis, Henrietta","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D."
Cambridge_11082005_CityCouncil.csv__hit25,"['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","[]","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Decker, Marjorie C.']","['Decker, Marjorie C.']","['Decker, Marjorie C.']","['Davis, Henrietta', 'Galluccio, Anthony D.', 'Sullivan, Michael A.', 'Simmons, Denise', 'Decker, Marjorie C.']","Davis, Henrietta","Decker, Marjorie C.","Decker, Marjorie C.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D."
Cambridge_11082005_CityCouncil.csv__hit26,"['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Decker, Marjorie C.']","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","[]","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Decker, Marjorie C.']","['Decker, Marjorie C.']","['Decker, Marjorie C.']","['Davis, Henrietta', 'Galluccio, Anthony D.', 'Sullivan, Michael A.', 'Simmons, Denise', 'Decker, Marjorie C.']","Davis, Henrietta","Decker, Marjorie C.","Decker, Marjorie C.","Galluccio, Anthony D.","Davis, Henrietta","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D."
Cambridge_11082005_CityCouncil.csv__hit27,"['Galluccio, Anthony D.']","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Decker, Marjorie C.']","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","[]","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Decker, Marjorie C.']","['Decker, Marjorie C.']","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Davis, Henrietta', 'Galluccio, Anthony D.', 'Sullivan, Michael A.', 'Simmons, Denise', 'Decker, Marjorie C.']","Decker, Marjorie C.","Decker, Marjorie C.","Decker, Marjorie C.","Sullivan, Michael A.","Decker, Marjorie C.","Decker, Marjorie C.","Decker, Marjorie C.","Sullivan, Michael A.","Decker, Marjorie C.","Decker, Marjorie C.","Galluccio, Anthony D.","Galluccio, Anthony D.","Decker, Marjorie C.","Decker, Marjorie C."
Cambridge_11082005_CityCouncil.csv__hit28,"['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","[]","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Galluccio, Anthony D.']","['Decker, Marjorie C.']","['Decker, Marjorie C.']","['Galluccio, Anthony D.']","['Davis, Henrietta', 'Sullivan, Michael A.', 'Decker, Marjorie C.', 'Galluccio, Anthony D.']","Davis, Henrietta","Decker, Marjorie C.","Decker, Marjorie C.","Galluccio, Anthony D.","Davis, Henrietta","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D.","Galluccio, Anthony D."
