election_id,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith-plurality,smith-irv,smith-minimax,ranked-pairs,bucklin,smith,tvr-om,tvr-avg,tvr-pm,diversity-0,diversity-1,diversity-2,diversity-3,diversity-4,diversity-5,diversity-6,diversity-7,diversity-8,diversity-9,diversity-10
Ward2CumbernauldNorth_n-lanarks12-02.csv__hit158,"['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","[]","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)', 'Barry MCCULLOCH (Lab)', 'Alan MASTERTON (SNP)']","Barry MCCULLOCH (Lab)","Bob CHADHA (Lab)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)"
Ward2CumbernauldNorth_n-lanarks12-02.csv__hit159,"['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","[]","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)', 'Barry MCCULLOCH (Lab)', 'Alan MASTERTON (SNP)']","Alan MASTERTON (SNP)","Bob CHADHA (Lab)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Barry MCCULLOCH (Lab)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)"
Ward2CumbernauldNorth_n-lanarks12-02.csv__hit160,"['Barry MCCULLOCH (Lab)']","['Barry MCCULLOCH (Lab)']","['Bob CHADHA (Lab)']","['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","[]","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Bob CHADHA (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)', 'Barry MCCULLOCH (Lab)', 'Alan MASTERTON (SNP)']","Alan MASTERTON (SNP)","Bob CHADHA (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Bob CHADHA (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)"
Ward2CumbernauldNorth_n-lanarks12-02.csv__hit161,"['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","[]","['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)', 'Bob CHADHA (Lab)', 'Alan MASTERTON (SNP)']","Alan MASTERTON (SNP)","Barry MCCULLOCH (Lab)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Barry MCCULLOCH (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)"
Ward2CumbernauldNorth_n-lanarks12-02.csv__hit162,"['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","[]","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)', 'Bob CHADHA (Lab)', 'Alan MASTERTON (SNP)']","Barry MCCULLOCH (Lab)","Bob CHADHA (Lab)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)"
Ward2CumbernauldNorth_n-lanarks12-02.csv__hit163,"['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","[]","['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)', 'Bob CHADHA (Lab)', 'Alan MASTERTON (SNP)']","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Barry MCCULLOCH (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)"
Ward2CumbernauldNorth_n-lanarks12-02.csv__hit164,"['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","[]","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)', 'Bob CHADHA (Lab)', 'Alan MASTERTON (SNP)']","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Bob CHADHA (Lab)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Bob CHADHA (Lab)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)"
Ward2CumbernauldNorth_n-lanarks12-02.csv__hit165,"['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","[]","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)', 'Bob CHADHA (Lab)', 'Alan MASTERTON (SNP)']","Barry MCCULLOCH (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Barry MCCULLOCH (Lab)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)"
Ward2CumbernauldNorth_n-lanarks12-02.csv__hit166,"['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","[]","['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)', 'Barry MCCULLOCH (Lab)', 'Bob CHADHA (Lab)']","Alan MASTERTON (SNP)","Barry MCCULLOCH (Lab)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)"
Ward2CumbernauldNorth_n-lanarks12-02.csv__hit167,"['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","[]","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)', 'Barry MCCULLOCH (Lab)', 'Bob CHADHA (Lab)']","Alan MASTERTON (SNP)","Bob CHADHA (Lab)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Bob CHADHA (Lab)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)"
Ward2CumbernauldNorth_n-lanarks12-02.csv__hit168,"['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","[]","['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)', 'Barry MCCULLOCH (Lab)', 'Bob CHADHA (Lab)']","Alan MASTERTON (SNP)","Barry MCCULLOCH (Lab)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Barry MCCULLOCH (Lab)","Alan MASTERTON (SNP)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)"
Ward2CumbernauldNorth_n-lanarks12-02.csv__hit169,TIED,"['Barry MCCULLOCH (Lab)']","['Bob CHADHA (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","[]","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Bob CHADHA (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)', 'Barry MCCULLOCH (Lab)', 'Bob CHADHA (Lab)']","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Bob CHADHA (Lab)","Bob CHADHA (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)"
Ward2CumbernauldNorth_n-lanarks12-02.csv__hit170,"['Barry MCCULLOCH (Lab)']","['Barry MCCULLOCH (Lab)']","['Bob CHADHA (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","[]","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Bob CHADHA (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)', 'Barry MCCULLOCH (Lab)', 'Bob CHADHA (Lab)']","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Bob CHADHA (Lab)","Bob CHADHA (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)"
Ward2CumbernauldNorth_n-lanarks12-02.csv__hit171,"['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","[]","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)', 'Barry MCCULLOCH (Lab)', 'Bob CHADHA (Lab)']","Alan MASTERTON (SNP)","Bob CHADHA (Lab)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)"
Ward2CumbernauldNorth_n-lanarks12-02.csv__hit172,"['Bob CHADHA (Lab)']","['Barry MCCULLOCH (Lab)']","['Bob CHADHA (Lab)']","['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","[]","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Barry MCCULLOCH (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)', 'Barry MCCULLOCH (Lab)', 'Bob CHADHA (Lab)']","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Bob CHADHA (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)","Barry MCCULLOCH (Lab)"
Ward2CumbernauldNorth_n-lanarks12-02.csv__hit173,"['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']",TIED,"['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","[]","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)']","['Bob CHADHA (Lab)']","['Bob CHADHA (Lab)']","['Alan MASTERTON (SNP)']","['Alan MASTERTON (SNP)', 'Barry MCCULLOCH (Lab)', 'Bob CHADHA (Lab)']","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Bob CHADHA (Lab)","Bob CHADHA (Lab)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)","Alan MASTERTON (SNP)"
