election_id,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith-plurality,smith-irv,smith-minimax,ranked-pairs,bucklin,smith,tvr-om,tvr-avg,tvr-pm,diversity-0,diversity-1,diversity-2,diversity-3,diversity-4,diversity-5,diversity-6,diversity-7,diversity-8,diversity-9,diversity-10
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit42,"['HARVIE John']","['HURN Bianca']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HARVIE John']","[]","['HURN Bianca']","['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HARVIE John', 'HURN Bianca', 'CAMPBELL Gen']","CAMPBELL Gen","HURN Bianca","HURN Bianca","HURN Bianca","HURN Bianca","HURN Bianca","HURN Bianca","HURN Bianca","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HARVIE John","HURN Bianca"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit43,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HARVIE John']","[]","['CAMPBELL Gen']","['HARVIE John']","['HARVIE John']","['CAMPBELL Gen']","['CAMPBELL Gen']","['HURN Bianca']","['HARVIE John', 'HURN Bianca', 'CAMPBELL Gen']","CAMPBELL Gen","CAMPBELL Gen","HARVIE John","HARVIE John","HARVIE John","HURN Bianca","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HARVIE John","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit44,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['CAMPBELL Gen']","['HURN Bianca']","['HURN Bianca']","[]","['CAMPBELL Gen']","['HARVIE John']","['HARVIE John']","['CAMPBELL Gen']","['CAMPBELL Gen']","['HURN Bianca']","['HARVIE John', 'HURN Bianca', 'CAMPBELL Gen']","CAMPBELL Gen","CAMPBELL Gen","HARVIE John","HURN Bianca","HARVIE John","HARVIE John","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HURN Bianca","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit45,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['CAMPBELL Gen']","['HURN Bianca']","['HURN Bianca']","[]","['CAMPBELL Gen']","['HARVIE John']","['HARVIE John']","['CAMPBELL Gen']","['CAMPBELL Gen']","['CAMPBELL Gen']","['HARVIE John', 'HURN Bianca', 'CAMPBELL Gen']","CAMPBELL Gen","CAMPBELL Gen","HARVIE John","HARVIE John","HARVIE John","HURN Bianca","HURN Bianca","CAMPBELL Gen","HARVIE John","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HURN Bianca","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit46,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","[]","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HURN Bianca', 'CAMPBELL Gen', 'HARVIE John']","CAMPBELL Gen","HARVIE John","HARVIE John","HURN Bianca","HURN Bianca","HARVIE John","HARVIE John","HARVIE John","HARVIE John","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit47,"['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HARVIE John']","['CAMPBELL Gen']","['HURN Bianca']","['HARVIE John']","[]","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HURN Bianca', 'CAMPBELL Gen', 'HARVIE John']","CAMPBELL Gen","HARVIE John","HURN Bianca","HARVIE John","HARVIE John","HARVIE John","HARVIE John","CAMPBELL Gen","HURN Bianca","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HARVIE John","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit48,"['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","[]","['HURN Bianca']","['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca', 'CAMPBELL Gen', 'HARVIE John']","CAMPBELL Gen","HURN Bianca","HURN Bianca","HARVIE John","HURN Bianca","HURN Bianca","HURN Bianca","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit49,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","[]","['CAMPBELL Gen']","['HARVIE John']","['HARVIE John']","['CAMPBELL Gen']","['CAMPBELL Gen']","['HURN Bianca']","['HURN Bianca', 'CAMPBELL Gen', 'HARVIE John']","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","CAMPBELL Gen","HARVIE John","HURN Bianca","HARVIE John","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HURN Bianca","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit50,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","[]","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HURN Bianca', 'CAMPBELL Gen', 'HARVIE John']","CAMPBELL Gen","HARVIE John","HARVIE John","HARVIE John","HARVIE John","HURN Bianca","HARVIE John","HARVIE John","HARVIE John","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HARVIE John","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit51,"['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","[]","['HURN Bianca']","['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HARVIE John', 'CAMPBELL Gen', 'HURN Bianca']","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HURN Bianca","HURN Bianca","HURN Bianca","HARVIE John","HURN Bianca","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HURN Bianca"
