file,first_flip_percent,method
FochabersLhanbryde_moray17-04,0.4,AVG
ForfarandDistrict_angus12-03.csv,0.4,AVG
ForfarandDistrict_angus17-03.csv,0.4,AVG
Forres_moray17-08,0.4,AVG
ForthWard_edinburgh12-04.csv,0.4,AVG
ForthandEndrickWard_stirling12-02,0.4,AVG
GeorgeSt-HarbourWard_Ward8.csv,0.4,AVG
GiffnockandThornliebank_e-renfs17-3.csv,0.4,AVG
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.4,AVG
GlenrothesNorthLeslieAndMarkinchWard_fife12-15.csv,0.4,AVG
GlenrothesWestAndKinglassieWard_fife12-14.csv,0.4,AVG
Grangemouth_falkirk12-02.csv,0.4,AVG
HELENSBURGHCENTRALWARD_argyll-bute12-10.csv,0.4,AVG
HaddingtonandLammermuir_e-lothian17-05.csv,0.4,AVG
HawickandDenholmWard_sc-borders12-10,0.4,AVG
HawickandHermitageWard_sc-borders12-11,0.4,AVG
HeldonandLaichWard_moray12-05,0.4,AVG
HeldonandLaich_moray17-05,0.4,AVG
HelensburghandLomondSouth_argyll-bute17-11.csv,0.4,AVG
Highland_perth-kinross12-04,0.4,AVG
Hilton-Woodside-StockethillWard_Ward5.csv,0.4,AVG
HiltonWoodsideStockethillWard_aberdeen17-05.csv,0.4,AVG
HoweOfFifeAndTayCoastWard_fife12-17.csv,0.4,AVG
HuntlyStrathbogieandHoweofAlfordWard_aberdeenshire12-14.csv,0.4,AVG
ISLEOFBUTEWARD_argyll-bute12-08.csv,0.4,AVG
InverclydeNorth_inverclyde17-04,0.4,AVG
InverclydeSouthWest_inverclyde17-06,0.4,AVG
InverclydeSouth_inverclyde17-07,0.4,AVG
InverkeithingAndDalgetyBayWard_fife12-06.csv,0.4,AVG
InvernessCentralWard_highland12-15,0.4,AVG
InvernessNess-side_PreferenceProfile_V0001_Inverness_Ness_side_06052022_161539,0.4,AVG
InvernessSouth_PreferenceProfile_V0001_Inverness_South_06052022_161540,0.4,AVG
IrvineSouth_n-ayrshire17-10,0.4,AVG
IrvineValley_e-ayrshire17-06.csv,0.4,AVG
IrvineWest_n-ayrshire17-01,0.4,AVG
IsleofBute_argyll-bute17-08.csv,0.4,AVG
KINTYREANDTHEISLANDSWARD_argyll-bute12-02.csv,0.4,AVG
KilbirnieandBeith_n-ayrshire17-07,0.4,AVG
Kincorth-Nigg-CoveWard_Ward13.csv,0.4,AVG
KincorthNiggCoveWard_aberdeen17-13.csv,0.4,AVG
KintyreandtheIslands_argyll-bute17-02.csv,0.4,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,0.4,AVG
KirkintillochEastandTwechar_e-duns12-08.csv,0.4,AVG
LandwardCaithnessWard_highland12-04,0.4,AVG
LeithWalkWard_edinburgh by-election 2015 Leith Walk,0.4,AVG
LeithWard_edinburgh12-13.csv,0.4,AVG
LevenKennowayAndLargoWard_fife12-22.csv,0.4,AVG
LevenWard_w-duns12-02,0.4,AVG
Leven_w-duns17-02,0.4,AVG
Liberton_GilmertonWard_edinburgh12-16.csv,0.4,AVG
LivingstonNorth_w-lothian12-03,0.4,AVG
LochaTuath_eilean-siar12-08.csv,0.4,AVG
LochaTuath_eilean-siar17-08.csv,0.4,AVG
Lochar_dumgal17-08.csv,0.4,AVG
LocheeWard_dundee12-02.csv,0.4,AVG
Lochee_dundee17-02.csv,0.4,AVG
LomondNorth_argyll-bute17-09.csv,0.4,AVG
LomondWard_w-duns12-01,0.4,AVG
Lomond_w-duns17-01,0.4,AVG
LowerDeesideWard_Ward9.csv,0.4,AVG
LowerDeesideWard_aberdeen17-09.csv,0.4,AVG
Maryfield_dundee17-05.csv,0.4,AVG
MearnsWard_aberdeenshire12-19.csv,0.4,AVG
MidArgyll_argyll-bute17-03.csv,0.4,AVG
MidFormartineWard_aberdeenshire12-08.csv,0.4,AVG
MidGallowayandWigtownWest_dumgal17-02.csv,0.4,AVG
MidlothianEas0_midlothian12-05_cleaned,0.4,AVG
MidlothianSouth_midlothian17-06,0.4,AVG
MontroseandDistrict_angus12-08.csv,0.4,AVG
MontroseandDistrict_angus17-08.csv,0.4,AVG
NairnandCawdor_PreferenceProfile_V0001_Nairn_and_Cawdor_06052022_161539,0.4,AVG
NewtonMearnsNorthandNeilston_e-renfs17-2.csv,0.4,AVG
NithWard_dumgal12-10.csv,0.4,AVG
NorthEast_dundee17-06.csv,0.4,AVG
NorthKincardineWard_aberdeenshire12-17.csv,0.4,AVG
NorthWestDumfries_dumgal17-06.csv,0.4,AVG
NorthWestandCentralSutherland_PreferenceProfile_V0001_North_West_and_Central_Sutherland_06052022_161534,0.4,AVG
Northfield-MastrickNorthWard_Ward4.csv,0.4,AVG
NorthfieldMastrickNorthWard_aberdeen17-04.csv,0.4,AVG
PentlandHillsWard_edinburgh12-02.csv,0.4,AVG
PerthCityCentre_perth-kinross12-12,0.4,AVG
PerthCityNorth_perth-kinross12-11,0.4,AVG
PeterheadNorthandRattrayWard_aberdeenshire12-05.csv,0.4,AVG
Portobello_CraigmillarWard_edinburgh12-17.csv,0.4,AVG
PrestonSetonandGosford_e-lothian17-02.csv,0.4,AVG
RosythWard_fife12-05.csv,0.4,AVG
SOUTHKINTYREWARD_argyll-bute12-01.csv,0.4,AVG
SelkirkshireWard_sc-borders12-04,0.4,AVG
SgireanRubha_eilean-siar17-05.csv,0.4,AVG
Southside_NewingtonWard_edinburgh12-15.csv,0.4,AVG
Springburn_springburn,0.4,AVG
SteornabhaghaDeas_eilean-siar12-06.csv,0.4,AVG
StirlingEast_stirling17-06,0.4,AVG
StirlingNorth_stirling17-04,0.4,AVG
StranraerandtheRhins_dumgal17-01.csv,0.4,AVG
StrathmartineWard_dundee12-01.csv,0.4,AVG
Strathmartine_dundee17-01.csv,0.4,AVG
Strathmore_perth-kinross12-02,0.4,AVG
StromnessandSouthIsles_orkney12-03,0.4,AVG
TainandEasterRossWard_highland12-08,0.4,AVG
TheFerry_dundee17-08.csv,0.4,AVG
ThursoWard_highland12-02,0.4,AVG
Torry-FerryhillWard_Aberdeen City Torry-Ferryhill Ward by election 2019,0.4,AVG
TranentWallyfordandMacmerry_e-lothian17-03.csv,0.4,AVG
TroupWard_aberdeenshire12-02.csv,0.4,AVG
TweeddaleEastWard_sc-borders12-02,0.4,AVG
TweeddaleWestWard_sc-borders12-01,0.4,AVG
Ward01-IrvineWest_n-ayrshire12-01,0.4,AVG
Ward02-IrvineEast_n-ayrshire12-02,0.4,AVG
Ward03-Ardrossan_Preference-Profile-Ardrossan_copy,0.4,AVG
Ward04-Arran_Preference-Profile-Arran_copy,0.4,AVG
Ward04-SaltcoatsandStevenston_n-ayrshire12-04,0.4,AVG
Ward05-SaltcoatsandStevenston_Preference-Profile-Saltcoats-and-Stevenston_copy,0.4,AVG
Ward06-DalryandWestKilbride_n-ayrshire12-06,0.4,AVG
Ward07-KilbirnieandBeith_n-ayrshire12-07,0.4,AVG
Ward08-IrvineEast_Preference-Profile-Irvine-East_copy,0.4,AVG
Ward09-IrvineSouth_Preference-Profile-Irvine-South_copy,0.4,AVG
Ward1-CarseofGowrie_Ward1,0.4,AVG
Ward1-ClydesdaleWest_s-lanarks12-01,0.4,AVG
Ward1-ClydesdaleWest_s-lanarks17-01,0.4,AVG
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,0.4,AVG
Ward1-Musselburgh_Ward1.csv,0.4,AVG
Ward1-RenfrewNorthandBraehead_renfs17-01,0.4,AVG
Ward1-StranraerandtheRhins_ward1.csv,0.4,AVG
Ward1-Strathmartine_Ward1.csv,0.4,AVG
Ward1-Troon_south ayrshire2022ward 1,0.4,AVG
Ward1-TrossachsandTeith_preferenceprofile_v0001_ward-1-trossachs-and-teith_06052022_124254,0.4,AVG
Ward1-TweeddaleWest_sc-borders17-01,0.4,AVG
Ward1-WestFifeCoastalVillages_PreferenceProfile_V0001_Ward-1-West-Fife-and-Coastal-Villages_06052022_145537.csv,0.4,AVG
Ward1-WestFifeCoastalVillages_fife17-01.csv,0.4,AVG
Ward10-EastKilbrideEast_s-lanarks17-10,0.4,AVG
Ward10-EastKilbrideEast_ward_10_east_kilbride_east_preference_profile,0.4,AVG
Ward10-Hazlehead-Ashley-QueensCross_aberdeen12-10.csv,0.4,AVG
Ward10-HelensburghCentral_ward10.csv,0.4,AVG
Ward10-HoustonCrossleeandLinwood_renfs17-10,0.4,AVG
Ward10-PerthCitySouth_perth-kinross17-10,0.4,AVG
Ward10Anderston-City_glasgow12-10.csv,0.4,AVG
Ward11-CaolandMallaig_highland17-11,0.4,AVG
Ward11-CoatbridgeSouth_n-lanarks17-011,0.4,AVG
Ward11-HawickHermitage_sc borders2022ward 11,0.4,AVG
Ward11-KirkcaldyCentral_PreferenceProfile_V0001_Ward-11-Kirkcaldy-Central_06052022_145551.csv,0.4,AVG
