file,threshold,winner
SGE2015 LA Pref Data_NA_Fairfield.csv,OM,ZANGARI Guy
SGE2015 LA Pref Data_NA_Fairfield.csv,PM,ZANGARI Guy
SGE2015 LA Pref Data_NA_Fairfield.csv,AVG,ZANGARI Guy
SGE2015 LA Pref Data_NA_Northern Tablelands.csv,OM,MARSHALL Adam
SGE2015 LA Pref Data_NA_Northern Tablelands.csv,PM,MARSHALL Adam
SGE2015 LA Pref Data_NA_Northern Tablelands.csv,AVG,MARSHALL Adam
SGE2015 LA Pref Data_NA_The Entrance.csv,OM,MEHAN David
SGE2015 LA Pref Data_NA_The Entrance.csv,PM,MEHAN David
SGE2015 LA Pref Data_NA_The Entrance.csv,AVG,MEHAN David
SGE2015 LA Pref Data_NA_Londonderry.csv,OM,CAR Prue
SGE2015 LA Pref Data_NA_Londonderry.csv,PM,CAR Prue
SGE2015 LA Pref Data_NA_Londonderry.csv,AVG,CAR Prue
SGE2015 LA Pref Data_NA_Ryde.csv,OM,DOMINELLO Victor
SGE2015 LA Pref Data_NA_Ryde.csv,PM,DOMINELLO Victor
SGE2015 LA Pref Data_NA_Ryde.csv,AVG,DOMINELLO Victor
SGE2015 LA Pref Data_NA_Castle Hill.csv,OM,WILLIAMS Ray
SGE2015 LA Pref Data_NA_Castle Hill.csv,PM,WILLIAMS Ray
SGE2015 LA Pref Data_NA_Castle Hill.csv,AVG,WILLIAMS Ray
SGE2015 LA Pref Data_NA_Barwon.csv,OM,HUMPHRIES Kevin
SGE2015 LA Pref Data_NA_Barwon.csv,PM,HUMPHRIES Kevin
SGE2015 LA Pref Data_NA_Barwon.csv,AVG,HUMPHRIES Kevin
SGE2015 LA Pref Data_NA_Baulkham Hills.csv,OM,ELLIOTT David
SGE2015 LA Pref Data_NA_Baulkham Hills.csv,PM,ELLIOTT David
SGE2015 LA Pref Data_NA_Baulkham Hills.csv,AVG,ELLIOTT David
SGE2015 LA Pref Data_NA_Ballina.csv,OM,SMITH Tamara
SGE2015 LA Pref Data_NA_Ballina.csv,PM,SMITH Tamara
SGE2015 LA Pref Data_NA_Ballina.csv,AVG,SMITH Tamara
SGE2015 LA Pref Data_NA_Lismore.csv,OM,SMITH Isaac
SGE2015 LA Pref Data_NA_Lismore.csv,PM,GEORGE Thomas
SGE2015 LA Pref Data_NA_Lismore.csv,AVG,GEORGE Thomas
SGE2015 LA Pref Data_NA_Monaro.csv,OM,BARILARO John
