file,threshold,winner,rounds,numCands
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.01,Moray Charles GRANT (SNP),6,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.02,Moray Charles GRANT (SNP),7,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.03,Moray Charles GRANT (SNP),7,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.04,Sam PAYNE (Con),7,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.05,Sam PAYNE (Con),7,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.06,Sam PAYNE (Con),7,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.07,Sam PAYNE (Con),7,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.08,Sam PAYNE (Con),7,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.09,Sam PAYNE (Con),7,8
Oakland_11082022_Schoolboarddistrict4.csv,0.0,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.01,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.02,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.03,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.04,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.05,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.06,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.07,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.08,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.09,MIKE HUTCHINSON,2,3
AnnandaleNorthWard_dumgal12-12.csv,0.0,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.01,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.02,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.03,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.04,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.05,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.06,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.07,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.08,(Con) Gail MACGREGOR,3,7
