file,candidate_cloned,percent,numCands,om,avg,pm
Eastpointe_11052019_CityCouncil.csv,frozenset({'Sarah A. Lucido'}),0.2,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,none,0.3,4,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Harvey Curley'}),0.3,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Larry Edwards'}),0.3,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Mary Hall-Rayford'}),0.3,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Sarah A. Lucido'}),0.3,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,none,0.4,4,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Harvey Curley'}),0.4,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Larry Edwards'}),0.4,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Mary Hall-Rayford'}),0.4,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Sarah A. Lucido'}),0.4,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,none,0.5,4,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Harvey Curley'}),0.5,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Larry Edwards'}),0.5,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Mary Hall-Rayford'}),0.5,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Sarah A. Lucido'}),0.5,5,Clone,Clone,Clone
Eastpointe_11052019_CityCouncil.csv,none,0.6,4,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Harvey Curley'}),0.6,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Larry Edwards'}),0.6,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Mary Hall-Rayford'}),0.6,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Sarah A. Lucido'}),0.6,5,Clone,Clone,Clone
Eastpointe_11052019_CityCouncil.csv,none,0.7,4,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Harvey Curley'}),0.7,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Larry Edwards'}),0.7,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Mary Hall-Rayford'}),0.7,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Sarah A. Lucido'}),0.7,5,Clone,Clone,Clone
Eastpointe_11052019_CityCouncil.csv,none,0.8,4,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Harvey Curley'}),0.8,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Larry Edwards'}),0.8,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Mary Hall-Rayford'}),0.8,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Sarah A. Lucido'}),0.8,5,Clone,Clone,Clone
Eastpointe_11052019_CityCouncil.csv,none,0.9,4,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Harvey Curley'}),0.9,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Larry Edwards'}),0.9,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Mary Hall-Rayford'}),0.9,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Sarah A. Lucido'}),0.9,5,Clone,Clone,Clone
StLouisPark_11022021_CityCouncilWard3.csv,none,0.1,3,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Sue Budd'}),0.1,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Jim Leuthner'}),0.1,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Saul Eugene'}),0.1,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,none,0.2,3,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Sue Budd'}),0.2,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Jim Leuthner'}),0.2,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Saul Eugene'}),0.2,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,none,0.3,3,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Sue Budd'}),0.3,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Jim Leuthner'}),0.3,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,frozenset({'Saul Eugene'}),0.3,4,Sue Budd,Sue Budd,Sue Budd
StLouisPark_11022021_CityCouncilWard3.csv,none,0.4,3,Sue Budd,Sue Budd,Sue Budd
