file,threshold,winner,rounds
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.29,Iain MCMILLAN (Lab),6
Ward3-DeeandGlenkens_ward3.csv,0.0,Susan MURDOCH (Con),4
Ward3-DeeandGlenkens_ward3.csv,0.01,John DENERLEY (Con),5
Ward3-DeeandGlenkens_ward3.csv,0.02,John DENERLEY (Con),5
Ward3-DeeandGlenkens_ward3.csv,0.03,John DENERLEY (Con),5
Ward3-DeeandGlenkens_ward3.csv,0.04,John DENERLEY (Con),5
Ward3-DeeandGlenkens_ward3.csv,0.05,John DENERLEY (Con),5
Ward3-DeeandGlenkens_ward3.csv,0.06,John DENERLEY (Con),5
Ward3-DeeandGlenkens_ward3.csv,0.07,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.08,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.09,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.1,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.11,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.12,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.13,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.14,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.15,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.16,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.17,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.18,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.19,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.2,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.21,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.22,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.23,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.24,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.25,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.26,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.27,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.28,Dougie CAMPBELL (Ind),5
Ward3-DeeandGlenkens_ward3.csv,0.29,Dougie CAMPBELL (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.0,Robin CURRIE (LD),4
Ward2-KintyreandtheIslands_ward2.csv,0.01,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.02,John MCALPINE (Ind),4
Ward2-KintyreandtheIslands_ward2.csv,0.03,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.04,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.05,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.06,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.07,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.08,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.09,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.1,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.11,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.12,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.13,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.14,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.15,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.16,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.17,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.18,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.19,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.2,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.21,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.22,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.23,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.24,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.25,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.26,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.27,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.28,John MCALPINE (Ind),5
Ward2-KintyreandtheIslands_ward2.csv,0.29,John MCALPINE (Ind),5
Minneapolis_11022021_CityCouncilWard2.csv,0.0,Cam Gordon,4
Minneapolis_11022021_CityCouncilWard2.csv,0.01,Yusra Arab,5
Minneapolis_11022021_CityCouncilWard2.csv,0.02,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.03,Cam Gordon,5
Minneapolis_11022021_CityCouncilWard2.csv,0.04,Cam Gordon,5
Minneapolis_11022021_CityCouncilWard2.csv,0.05,Yusra Arab,5
Minneapolis_11022021_CityCouncilWard2.csv,0.06,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.07,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.08,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.09,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.1,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.11,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.12,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.13,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.14,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.15,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.16,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.17,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.18,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.19,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.2,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.21,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.22,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.23,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.24,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.25,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.26,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.27,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.28,Robin Wonsley Worlobah,5
Minneapolis_11022021_CityCouncilWard2.csv,0.29,Robin Wonsley Worlobah,5
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.0,Tom JOHNSTON (SNP),5
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.01,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.02,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.03,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.04,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.05,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.06,Tom JOHNSTON (SNP),7
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.07,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.08,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.09,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.1,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.11,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.12,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.13,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.14,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.15,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.16,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.17,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.18,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.19,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.2,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.21,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.22,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.23,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.24,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.25,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.26,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.27,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.28,Tom JOHNSTON (SNP),6
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.29,Tom JOHNSTON (SNP),6
Ward21NorthEast_glasgow17-021.csv,0.0,Ruairi KELLY (SNP),8
Ward21NorthEast_glasgow17-021.csv,0.01,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.02,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.03,Ruairi KELLY (SNP),8
Ward21NorthEast_glasgow17-021.csv,0.04,Ruairi KELLY (SNP),8
Ward21NorthEast_glasgow17-021.csv,0.05,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.06,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.07,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.08,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.09,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.1,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.11,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.12,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.13,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.14,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.15,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.16,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.17,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.18,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.19,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.2,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.21,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.22,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.23,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.24,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.25,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.26,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.27,Maureen BURKE (Lab),8
Ward21NorthEast_glasgow17-021.csv,0.28,Maureen BURKE (Lab),8
