election,candidates,complete,incomplete
SGE2015 LA Pref Data_NA_Port Stephens.csv,5,33.5,66.5
SGE2015 LA Pref Data_NA_Oxley.csv,5,30.5,69.5
SGE2015 LA Pref Data_NA_Kiama.csv,5,33.6,66.4
SGE2015 LA Pref Data_NA_Fairfield.csv,5,21.1,78.9
SGE2015 LA Pref Data_NA_Northern Tablelands.csv,6,24.8,75.2
SGE2015 LA Pref Data_NA_The Entrance.csv,5,31.4,68.6
SGE2015 LA Pref Data_NA_Londonderry.csv,5,28.6,71.4
SGE2015 LA Pref Data_NA_Ryde.csv,5,29.3,70.7
SGE2015 LA Pref Data_NA_Castle Hill.csv,5,19.7,80.3
SGE2015 LA Pref Data_NA_Barwon.csv,6,26.2,73.8
SGE2015 LA Pref Data_NA_Baulkham Hills.csv,5,23.6,76.4
SGE2015 LA Pref Data_NA_Ballina.csv,7,38.5,61.5
SGE2015 LA Pref Data_NA_Lismore.csv,6,39.8,60.2
SGE2015 LA Pref Data_NA_Monaro.csv,5,34.2,65.8
SGE2015 LA Pref Data_NA_Epping.csv,6,28.9,71.1
SGE2015 LA Pref Data_NA_Macquarie Fields.csv,7,24.2,75.8
SGE2015 LA Pref Data_NA_Clarence.csv,8,26.2,73.8
SGE2015 LA Pref Data_NA_Charlestown.csv,7,17.3,82.7
SGE2015 LA Pref Data_NA_Tamworth.csv,7,27.1,72.9
SGE2015 LA Pref Data_NA_Rockdale.csv,6,16.2,83.8
SGE2015 LA Pref Data_NA_Davidson.csv,5,21.1,78.9
SGE2015 LA Pref Data_NA_Myall Lakes.csv,6,29.7,70.3
SGE2015 LA Pref Data_NA_Coogee.csv,5,31.7,68.3
SGE2015 LA Pref Data_NA_South Coast.csv,5,23.0,77.0
SGE2015 LA Pref Data_NA_Summer Hill.csv,7,30.7,69.3
SGE2015 LA Pref Data_NA_Wyong.csv,7,24.7,75.3
SGE2015 LA Pref Data_NA_Heffron.csv,5,26.1,73.9
SGE2015 LA Pref Data_NA_Oatley.csv,5,30.6,69.4
SGE2015 LA Pref Data_NA_Parramatta.csv,7,19.8,80.2
SGE2015 LA Pref Data_NA_East Hills.csv,5,29.5,70.5
SGE2015 LA Pref Data_NA_Vaucluse.csv,5,23.2,76.8
SGE2015 LA Pref Data_NA_Auburn.csv,6,18.5,81.5
SGE2015 LA Pref Data_NA_Shellharbour.csv,7,18.4,81.6
SGE2015 LA Pref Data_NA_Murray.csv,8,16.6,83.4
SGE2015 LA Pref Data_NA_Sydney.csv,8,19.3,80.7
SGE2015 LA Pref Data_NA_Camden.csv,5,17.7,82.3
SGE2015 LA Pref Data_NA_Strathfield.csv,5,31.7,68.3
SGE2015 LA Pref Data_NA_Cronulla.csv,5,23.5,76.5
SGE2015 LA Pref Data_NA_Pittwater.csv,5,20.2,79.8
SGE2015 LA Pref Data_NA_Riverstone.csv,5,19.8,80.2
SGE2015 LA Pref Data_NA_Mount Druitt.csv,5,21.0,79.0
SGE2015 LA Pref Data_NA_Hornsby.csv,6,29.0,71.0
SGE2015 LA Pref Data_NA_Orange.csv,5,30.2,69.8
SGE2015 LA Pref Data_NA_Blacktown.csv,5,22.0,78.0
SG2301 LA Pref Data Clarence.csv,8,19.4,80.6
SG2301 LA Pref Data Oatley.csv,5,35.6,64.4
SG2301 LA Pref Data Pittwater.csv,5,40.7,59.3
SG2301 LA Pref Data Riverstone.csv,6,33.1,66.9
SG2301 LA Pref Data Tamworth.csv,8,26.0,74.0
SG2301 LA Pref Data Rockdale.csv,4,29.8,70.2
SG2301 LA Pref Data Northern Tablelands.csv,10,13.7,86.3
SG2301 LA Pref Data Bega.csv,7,23.4,76.6
SG2301 LA Pref Data Coogee.csv,6,25.0,75.0
SG2301 LA Pref Data Davidson.csv,5,30.2,69.8
SG2301 LA Pref Data Blacktown.csv,7,20.8,79.2
SG2301 LA Pref Data Auburn.csv,6,18.1,81.9
SG2301 LA Pref Data Newtown.csv,4,48.7,51.3
SG2301 LA Pref Data Londonderry.csv,5,25.1,74.9
SG2301 LA Pref Data Castle Hill.csv,6,19.3,80.7
SG2301 LA Pref Data Balmain.csv,5,32.5,67.5
SG2301 LA Pref Data The Entrance.csv,6,22.6,77.4
SG2301 LA Pref Data Wyong.csv,5,29.1,70.9
SG2301 LA Pref Data Parramatta.csv,5,27.1,72.9
SG2301 LA Pref Data Camden.csv,5,26.6,73.4
SG2301 LA Pref Data Miranda.csv,5,24.6,75.4
SG2301 LA Pref Data Sydney.csv,5,38.0,62.0
